,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
51,facs,3m,18m,female,Dnase1,2.7841110229492188,3.4682943805819377e-06,2.3890046577434987e-05,0.0003387875040061772,1.809264831242884e-08
430,droplet,24m,30m,male,Ephx2,2.783207416534424,3.3985056688834447e-06,2.339467391720973e-05,0.00011093663488281891,2.4833231606982243e-65
484,droplet,3m,18m,male,Vwf,2.783106565475464,5.4293154789775144e-06,3.737177394214086e-05,0.00030608021188527346,1.0522041457737686e-37
95,droplet,18m,21m,female,Ovol1,2.7827303409576416,1.4284008784670732e-06,9.829595910559874e-06,6.408758054021746e-05,4.0913650646356663e-10
862,droplet,3m,30m,male,Cdca5,2.782414436340332,1.312833887823217e-06,9.03234013094334e-06,4.074155003763735e-05,5.490520758138883e-09
863,droplet,3m,30m,male,Clec4n,2.781862497329712,7.269913112395443e-06,4.999808152206242e-05,0.00022398510191123933,9.069678611532072e-178
864,droplet,3m,30m,male,Alox5,2.7818455696105957,2.3040672658680705e-06,1.5845802408875898e-05,6.207078695297241e-05,1.8024541791265022e-32
520,droplet,3m,24m,male,Thbs4,2.780064821243286,2.1441815988509916e-05,0.00014728025416843593,0.0013011725386604667,7.885343110838825e-66
521,droplet,3m,24m,male,Slc43a1,2.7799277305603027,4.980588983016787e-06,3.420758366701193e-05,0.00013476221647579223,6.765404835131544e-117
431,droplet,24m,30m,male,Fcna,2.778747081756592,5.140709617990069e-06,3.5278437280794606e-05,0.00019413500558584929,1.7085055741341215e-101
485,droplet,3m,18m,male,Fcgr3,2.778013229370117,1.8953158360091038e-05,0.00013000107719562948,0.00027730321744456887,0.0
522,droplet,3m,24m,male,Igsf6,2.77622389793396,4.924329005007166e-06,3.3734464523149654e-05,0.00010873719293158501,6.163308012678476e-124
867,droplet,3m,30m,male,Dfna5,2.7752881050109863,1.1958769619013765e-06,8.187132152670529e-06,4.077067205798812e-05,1.0242591180103865e-06
868,droplet,3m,30m,male,Cfp,2.7663588523864746,2.177376882173121e-05,0.00014814625319559127,0.00050108548020944,0.0
115,droplet,3m,21m,female,Gjb5,2.7642948627471924,2.2295487269730074e-06,1.5147912563406862e-05,7.165120041463524e-05,7.600634276397824e-28
432,droplet,24m,30m,male,Ddc,2.7629454135894775,1.3136091183696408e-06,8.916529623093084e-06,5.2256502385716885e-05,2.3499762961888318e-08
526,droplet,3m,24m,male,Pilrb1,2.7628674507141113,2.539197566875373e-06,1.7234655388165265e-05,7.485553214792162e-05,5.079774227302501e-36
433,droplet,24m,30m,male,4931406C07Rik,2.761561155319214,8.708923814992886e-06,5.9057801991002634e-05,0.00021474363165907562,1.1994845591684507e-290
530,droplet,3m,24m,male,Birc5,2.7590019702911377,1.5160770090005826e-05,0.00010262746945954859,0.0003306015278212726,0.0
873,droplet,3m,30m,male,Myo1f,2.756500244140625,8.563115443394054e-06,5.786568726762198e-05,0.000127868537674658,0.0
533,droplet,3m,24m,male,Tnfaip6,2.756155490875244,4.837903907173313e-05,0.00032684564939700067,0.0017512922640889883,1.0924890215917734e-188
874,droplet,3m,30m,male,Itgam,2.7552552223205566,8.729641194804572e-06,5.8940102462656796e-05,0.00013743745512329042,0.0
875,droplet,3m,30m,male,Cyp4a14,2.75496244430542,4.210199222143274e-06,2.8420326998457313e-05,0.00025804992765188217,4.1591267289122965e-50
96,droplet,18m,21m,female,Pnliprp2,2.7548458576202393,2.841675950548961e-06,1.918076304718852e-05,0.00029682129388675094,3.526496001941039e-11
536,droplet,3m,24m,male,Ctla4,2.7488138675689697,1.3788121577817947e-06,9.267888344766106e-06,0.00010186781582888216,9.524911710791782e-07
877,droplet,3m,30m,male,Hist2h2ac,2.746687889099121,1.514601308372221e-06,1.0165624189539813e-05,4.942596933688037e-05,7.294688773777742e-12
434,droplet,24m,30m,male,Gm11428,2.7458879947662354,0.0001450939744245261,0.000973294023424387,0.0028343822341412306,0.0
878,droplet,3m,30m,male,Clspn,2.7455732822418213,2.022785793087678e-06,1.3565942936111242e-05,6.030815711710602e-05,2.7025820504461146e-23
879,droplet,3m,30m,male,Slc26a10,2.743455648422241,2.3526647510152543e-06,1.575515307195019e-05,0.00010011332051362842,1.634836726433052e-28
486,droplet,3m,18m,male,Emilin2,2.742856025695801,1.0441502126923297e-05,6.989481335040182e-05,0.00016289342602249235,0.0
