,Unnamed: 0,index,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value,uniprot_mouse,uniprot_daphnia
4194,42363,531,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,medium spiny neuron,P4hb,-6.491726875305176,0.00012761361722368747,1.4180523066897874e-06,0.00011689209350151941,9.849928400722725e-13,P09103,
4195,19864,624,droplet,24m,30m,male,Liver,,,Fosb,6.491515159606934,2.280758053530008e-06,0.00020522020349744707,0.00027488835621625185,7.057411483001192e-242,P13346,
4196,25078,221,droplet,3m,30m,male,,,,Clic3,-6.490736961364746,2.9243479730212126e-05,3.2517806403120625e-07,9.620730997994542e-05,4.9333297485230105e-124,Q9D7P7,
4197,2992,567,droplet,3m,24m,male,Kidney,,,Bank1,6.490434646606445,1.907709020088077e-06,0.00017152517102658749,0.00027381509426049894,0.0,Q80VH0,
4198,37733,532,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,Zfp292,-6.490076541900635,3.896033376804553e-05,4.3342498656784295e-07,0.00010489286796655507,7.702643988964106e-07,Q9Z2U2,
4199,2993,568,droplet,3m,24m,male,Kidney,,,Degs2,-6.489569664001465,3.699981243698858e-05,4.1175923115588375e-07,9.903049794957042e-05,1.9675020408121867e-28,Q8R2F2,E9GB97
4200,19865,625,droplet,24m,30m,male,Liver,,,Ftcd,-6.489539623260497,0.0002686309744603932,2.9895779789512744e-06,0.0004431198176462203,8.478801927222266e-06,Q91XD4,E9FR24
4201,11982,88,droplet,3m,18m,male,Lung,,,Ptprb,6.489338874816895,2.1830092009622604e-06,0.00019612882169894877,0.0005136139807291329,4.455402362085122e-84,B2RU80,
4202,2994,569,droplet,3m,24m,male,Kidney,,,Pvrl2,-6.487527847290039,5.519321348401718e-05,6.150982017061324e-07,0.00012701739615295082,1.1379274614521505e-41,,
4203,15352,620,droplet,3m,30m,male,Lung,,,Htra3,-6.486958980560303,0.00016951671568676832,1.889918394226697e-06,0.0003187127585988492,2.122387502453582e-128,Q9D236,
4204,19866,626,droplet,24m,30m,male,Kidney,,,Entpd2,6.486496448516847,1.0125140903483043e-07,9.078942639462184e-06,5.6164903071476147e-05,9.107263776795516e-08,O55026,E9H2Z0
4205,19867,627,droplet,24m,30m,male,Kidney,,,Ehhadh,6.486222267150879,1.6425805142716852e-06,0.00014725647633895278,0.0002555784594733268,0.0,Q9DBM2,
4206,15353,621,droplet,3m,30m,male,Lung,,,Rbms3,-6.485795021057129,0.0001434898003935814,1.6010390027076937e-06,0.00022446829825639722,6.13841751006473e-183,Q8BWL5,
4207,19868,628,droplet,24m,30m,male,Kidney,,,Fabp3,6.482293128967285,1.1674040933939978e-06,0.00010437253513373436,0.0002686558000277728,1.2725629996134093e-165,P11404,
4208,28781,184,facs,3m,18m,male,Trachea,,chondrocyte,Serinc1,-6.481656074523926,0.0002804948890116066,3.138715328532271e-06,0.0002473123022355139,9.073851498238122e-26,Q9QZI8,
