,index,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
36988,37,facs,18m,24m,male,Aorta,,,Ndn,-8.521997451782227,0.0002990755601786077,8.135863822644751e-07,0.00045185984345152974,2.6574862845715724e-11
117640,89,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,,Mars,-8.521659851074219,5.7634664699435234e-05,1.568215424185837e-07,0.0001558288058731705,3.3397855781023915e-12
79010,63,facs,3m,18m,male,Trachea,,chondrocyte,Csnk1d,-8.521389961242676,0.00013317330740392208,3.6242815326659183e-07,0.00017343908257316798,2.7511125479600206e-10
53310,277,droplet,24m,30m,male,Kidney,,,Dnajc22,8.521100044250488,8.537264051255988e-08,3.136393570457585e-05,8.44285823404789e-05,6.368474158181728e-91
45803,112,droplet,3m,30m,male,Liver,,,Gcgr,-8.520933151245117,0.0001650998165132478,4.4945818444830365e-07,0.0002366234257351607,1.7603629205635024e-44
11437,287,droplet,3m,24m,male,Kidney,,,C77080,-8.52071475982666,3.1911677069729194e-05,8.688681418789201e-08,9.436456457478926e-05,7.35517873618911e-23
83357,4,droplet,3m,24m,male,Kidney,,lymphocyte,Car2,8.520048141479492,8.475903086946346e-06,0.0031115442980080843,0.0045916796661913395,3.3398055793827546e-119
62354,84,droplet,3m,18m,male,,,,Col9a3,-8.519372940063477,0.00016001577023416758,4.360888112842076e-07,0.000540287175681442,0.0
17389,271,facs,3m,18m,female,Liver,,,Gpr182,8.518289566040039,2.165752448490821e-06,0.0007940898649394512,0.0016140512889251113,2.5697430294540977e-24
17390,272,facs,3m,18m,female,Liver,,,Itgal,8.518168449401855,2.738351270181738e-07,0.00010039568587671965,0.0003034300170838833,5.451535653816315e-09
45804,113,droplet,3m,30m,male,Lung,,,Grem2,-8.516739845275879,0.0001201478808070533,3.2803532690195425e-07,0.00037477395380847156,1.204563366540545e-45
17391,273,facs,3m,18m,male,Thymus,,,S100a16,8.514983177185059,2.648787074122083e-07,9.689782746136189e-05,0.0003844677412416786,2.4752735035454015e-06
101792,251,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,Otud6b,-8.513310432434082,4.2714269511634484e-05,1.168980858778923e-07,0.00010870064579648897,2.3210104044324533e-08
53311,278,droplet,24m,30m,male,Kidney,,,Ptprg,8.509207725524902,6.440479438651892e-08,2.34666822507279e-05,7.427513628499582e-05,6.796227617624979e-57
11438,288,droplet,3m,24m,male,Kidney,,,Nfib,-8.507467269897461,8.933604112826288e-05,2.454833349929686e-07,0.0001635764929233119,3.5542195599024336e-71
53312,279,droplet,24m,30m,male,Kidney,,,Ms4a3,-8.503993034362793,1.8189350157626905e-05,5.0101608195518565e-08,0.00014817107876297086,2.7651843205320358e-11
45805,114,droplet,3m,30m,male,Liver,,,Tmprss6,-8.501776695251465,0.0003323153068777174,9.16769295145059e-07,0.00039299880154430866,2.5177826558681296e-67
17392,274,facs,3m,18m,female,Liver,,,Timp3,8.500991821289062,5.96028996824316e-07,0.0002159342693630606,0.0005354274762794375,3.785041804936373e-15
17393,275,facs,3m,18m,female,Liver,,,Ier5,8.500153541564941,3.590166386402416e-07,0.00012999209866393358,0.0003667785204015672,7.295952712161218e-11
